#,PLAYER,GP,MIN,PTS,PPG,APG,RPG,SPG,BPG,FGM,FGA,FG%,3 PM',3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFG%,TS%
769,Brendan Haywood,816,18679,5538,6.8,0.5,6.0,0.4,1.4,2110,3999,52.8,0,4,0,1318,2246,58.7,2081,2794,4875,442,320,1109,851,52.8,55.5
772,Rasho Nesterovic,811,17983,5519,6.8,1.0,5.1,0.4,1.2,2570,5121,50.2,1,13,7.7,378,646,58.5,1513,2630,4143,836,330,934,748,50.2,51.1
776,Steve Kerr,910,16203,5437,6.0,1.8,1.2,0.5,0.1,2042,4263,47.9,726,1599,45.4,627,726,86.4,186,874,1060,1658,476,46,504,56.4,59.3
780,Phil Jackson,807,14201,5428,6.7,1.1,2.4,0.3,0.2,2076,4583,45.3,0,2,0,1276,1734,73.6,515,1447,3454,898,281,199,134,45.3,50.8
792,Nick Collison,910,18600,5359,5.9,1.0,5.2,0.5,0.5,2212,4146,53.4,21,101,20.8,914,1265,72.3,1766,2935,4701,939,446,469,878,53.6,57
794,Kris Humphries,800,14232,5350,6.7,0.7,5.4,0.4,0.6,2078,4486,46.3,55,188,29.3,1139,1626,70,1387,2927,4314,556,326,454,691,46.9,51.4
803,Bruce Bowen,873,24053,5290,6.1,1.2,2.8,0.8,0.4,1945,4761,40.9,818,2082,39.3,582,1013,57.5,469,1959,2428,1089,712,336,646,49.4,50.8
811,Shaun Livingston,833,17188,5231,6.3,3.0,2.4,0.7,0.4,2149,4419,48.6,13,73,17.8,920,1159,79.4,491,1498,1989,2483,586,311,1034,48.8,53.1
813,Mark Eaton,875,25169,5216,6.0,1.0,7.9,0.4,3.5,2072,4526,45.8,0,2,0,1072,1653,64.9,1857,5082,6939,840,368,3064,1293,45.8,49.6
838,Tony Battie,837,17650,5082,6.1,0.6,5.1,0.5,0.9,2143,4387,48.8,12,74,16.2,784,1137,69,1376,2911,4287,522,420,713,704,49,52
846,T.R. Dunn,993,23080,5033,5.1,1.6,4.4,1.3,0.3,2030,4443,45.7,1,20,5,972,1341,72.5,1729,2642,4371,1631,1316,252,815,45.7,50
850,Malik Rose,813,13404,5003,6.2,0.8,4.1,0.6,0.4,1792,4104,43.7,14,79,17.7,1405,1892,74.3,1166,2205,3371,684,487,293,1059,43.8,50.7
854,Bo Outlaw,914,20742,4970,5.4,1.6,4.9,0.9,1.3,2005,3534,56.7,3,38,7.9,957,1837,52.1,1685,2752,4437,1441,855,1193,1056,56.8,57.2
868,Thabo Sefolosha,828,18626,4902,5.9,1.4,3.8,1.1,0.4,1879,4173,45,498,1414,35.2,646,879,73.5,605,2554,3159,1171,911,354,740,51,53.8
886,Jon Barry,821,13880,4715,5.7,2.2,1.8,0.9,0.1,1595,3672,43.4,657,1676,39.2,868,1023,84.8,318,1195,1513,1784,722,111,808,52.4,57.2
890,Joe Kleine,965,14712,4666,4.8,0.6,4.1,0.3,0.3,1902,4201,45.3,13,48,27.1,849,1069,79.4,1268,2723,3991,622,261,285,777,45.4,49.9
902,Kurt Rambis,880,16299,4603,5.2,1.1,5.6,0.9,0.5,1802,3376,53.4,0,14,0,999,1450,68.9,1640,3321,4961,931,761,456,1033,53.4,57.3
936,George Johnson,904,18102,4369,4.8,1.0,6.4,0.5,2.3,1802,3995,45.1,1,2,50,764,1101,69.4,1960,3789,5887,929,456,2082,872,45.1,48.8
1069,Chris Dudley,886,16322,3473,3.9,0.4,6.2,0.4,1.2,1391,3380,41.2,0,5,0,691,1508,45.8,2234,3223,5457,375,334,1027,740,41.2,42.9
1069,Ervin Johnson,845,16992,3473,4.1,0.5,6.1,0.6,1.3,1393,2756,50.5,2,10,20,685,1133,60.5,1677,3471,5148,387,471,1087,724,50.6,53.4
1095,Reggie Evans,809,15572,3289,4.1,0.6,7.1,0.7,0.1,1107,2379,46.5,1,11,9.1,1074,2036,52.8,1984,3781,5765,458,566,115,897,46.6,50.2
