#,PLAYER,GP,MIN,PTS,PPG,APG,RPG,SPG,BPG,FGM,FGA,FG%,3 PM',3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFG%,TS%
633,Shawn Bradley,832,19531,6752,8.1,0.7,6.3,0.6,2.5,2713,5935,45.7,4,39,10.3,1322,1847,71.6,1743,3525,5268,573,532,2119,1059,45.7,50
638,Dennis Rodman,911,28842,6683,7.3,1.8,13.1,0.7,0.6,2766,5310,52.1,82,355,23.1,1069,1832,58.4,4329,7625,11954,1600,611,531,1484,52.9,54.6
640,Bryon Russell,841,19806,6663,7.9,1.3,3.5,1.0,0.2,2274,5272,43.1,685,1856,36.9,1430,1906,75,752,2162,2914,1085,874,203,835,49.6,54.5
641,Tony Allen,820,18053,6654,8.1,1.3,3.5,1.4,0.4,2588,5447,47.5,125,444,28.2,1353,1909,70.9,1021,1863,2884,1077,1158,337,1118,48.7,52.9
643,Bimbo Coles,852,20317,6628,7.8,3.9,2.1,0.9,0.2,2549,5991,42.5,252,943,26.7,1278,1576,81.1,469,1351,1820,3313,735,134,1267,44.7,49.6
644,Antonio Daniels,872,19673,6623,7.6,3.4,1.8,0.6,0.1,2270,5109,44.4,359,1154,31.1,1724,2173,79.3,219,1394,1613,2934,564,85,928,47.9,54.6
648,Caldwell Jones,"1,068",26474,6589,6.2,1.3,7.2,0.4,1.4,2554,5395,47.3,2,31,6.5,1479,1965,75.3,2042,5621,7663,1347,480,1517,1596,47.4,52.6
650,Jared Dudley,847,19673,6559,7.7,1.6,3.3,0.8,0.2,2382,5128,46.5,863,2199,39.2,932,1274,73.2,795,1981,2776,1362,694,163,753,54.9,57.7
651,Brian Shaw,943,21668,6547,6.9,4.2,3.4,0.8,0.3,2589,6419,40.3,431,1416,30.4,938,1199,78.2,773,2410,3183,3918,747,252,1664,43.7,47.1
655,Udonis Haslem,854,21522,6511,7.6,0.9,6.7,0.5,0.3,2639,5389,49,4,55,7.3,1229,1627,75.5,1606,4132,5738,728,422,249,803,49,53.3
658,Danny Ferry,917,18132,6439,7.0,1.3,2.8,0.4,0.3,2505,5615,44.6,677,1724,39.3,752,895,84,647,1903,2550,1185,384,292,811,50.6,53.6
666,Alton Lister,953,18964,6298,6.6,1.0,6.3,0.4,1.5,2514,4907,51.2,1,9,11.1,1269,2126,59.7,1844,4152,5996,914,351,1473,1450,51.2,53.9
670,Mark West,"1,090",20215,6259,5.7,0.4,4.9,0.3,1.3,2528,4356,58,0,4,0,1203,2117,56.8,1785,3562,5347,428,326,1403,1208,58,59.2
672,Ben Wallace,"1,088",32084,6254,5.7,1.3,9.6,1.3,2.0,2569,5421,47.4,7,51,13.7,1109,2679,41.4,3444,7038,10482,1437,1369,2137,1061,47.5,47.4
674,Tree Rollins,"1,156",24028,6249,5.4,0.6,5.8,0.4,2.2,2592,4963,52.2,0,7,0,1065,1522,70,2148,4602,6750,660,512,2542,1057,52.2,55.5
680,Rich Kelley,814,17711,6199,7.6,2.6,7.0,0.9,0.9,2166,4435,48.8,0,10,0,1867,2384,78.3,1872,3806,5678,2092,694,749,1576,48.8,56.5
687,Amir Johnson,870,18322,6102,7.0,1.2,5.4,0.6,1.0,2558,4490,57,107,322,33.2,879,1307,67.3,1723,2969,4692,1073,524,839,932,58.2,60.2
688,Rasual Butler,809,17220,6092,7.5,0.8,2.4,0.4,0.5,2293,5686,40.3,911,2520,36.2,595,796,74.7,297,1637,1934,658,288,408,528,48.3,50.5
